2023-07-26 12:09:16,508 INFO    StreamThr :8884 [internal.py:wandb_internal():86] W&B internal server running at pid: 8884, started at: 2023-07-26 12:09:16.507687
2023-07-26 12:09:16,509 DEBUG   HandlerThread:8884 [handler.py:handle_request():144] handle_request: status
2023-07-26 12:09:16,514 INFO    WriterThread:8884 [datastore.py:open_for_write():85] open: /home/harry/swin/SSLTransformerRS/wandb/run-20230726_120916-s2vnsohr/run-s2vnsohr.wandb
2023-07-26 12:09:16,514 DEBUG   SenderThread:8884 [sender.py:send():375] send: header
2023-07-26 12:09:16,525 DEBUG   SenderThread:8884 [sender.py:send():375] send: run
2023-07-26 12:09:18,006 DEBUG   HandlerThread:8884 [handler.py:handle_request():144] handle_request: check_version
2023-07-26 12:09:18,006 INFO    SenderThread:8884 [dir_watcher.py:__init__():219] watching files in: /home/harry/swin/SSLTransformerRS/wandb/run-20230726_120916-s2vnsohr/files
2023-07-26 12:09:18,006 INFO    SenderThread:8884 [sender.py:_start_run_threads():1124] run started: s2vnsohr with start time 1690337356.507097
2023-07-26 12:09:18,006 DEBUG   SenderThread:8884 [sender.py:send_request():402] send_request: summary_record
2023-07-26 12:09:18,006 INFO    SenderThread:8884 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-07-26 12:09:18,006 DEBUG   SenderThread:8884 [sender.py:send_request():402] send_request: check_version
2023-07-26 12:09:18,067 DEBUG   HandlerThread:8884 [handler.py:handle_request():144] handle_request: run_start
2023-07-26 12:09:18,067 DEBUG   HandlerThread:8884 [system_info.py:__init__():31] System info init
2023-07-26 12:09:18,067 DEBUG   HandlerThread:8884 [system_info.py:__init__():46] System info init done
2023-07-26 12:09:18,068 INFO    HandlerThread:8884 [system_monitor.py:start():181] Starting system monitor
2023-07-26 12:09:18,068 INFO    SystemMonitor:8884 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-26 12:09:18,068 INFO    HandlerThread:8884 [system_monitor.py:probe():201] Collecting system info
2023-07-26 12:09:18,068 INFO    SystemMonitor:8884 [interfaces.py:start():190] Started cpu monitoring
2023-07-26 12:09:18,069 INFO    SystemMonitor:8884 [interfaces.py:start():190] Started disk monitoring
2023-07-26 12:09:18,069 INFO    SystemMonitor:8884 [interfaces.py:start():190] Started memory monitoring
2023-07-26 12:09:18,069 INFO    SystemMonitor:8884 [interfaces.py:start():190] Started network monitoring
2023-07-26 12:09:18,071 DEBUG   HandlerThread:8884 [system_info.py:probe():195] Probing system
2023-07-26 12:09:18,073 DEBUG   HandlerThread:8884 [system_info.py:_probe_git():180] Probing git
2023-07-26 12:09:18,080 DEBUG   HandlerThread:8884 [system_info.py:_probe_git():188] Probing git done
2023-07-26 12:09:18,080 DEBUG   HandlerThread:8884 [system_info.py:probe():240] Probing system done
